termino,BuenosAires,CABA,Catamarca,Chaco,Chubut,Cordoba,Corrientes,EntreRios,Formosa,LaPampa,LaRioja,Mendoza,MisionesII,Neuquen,RioNegro,Salta,SanJuan,SanLuisV,SantaCruz,SantaFe,SantiagoDelEstero,TierraDelFuego,Tucuman
certificado catastral,6,1,5,7,2,4,4,1,3,4,8,0,5,5,4,0,3,4,4,0,16,3,1
actos levantamiento,2,2,7,12,0,3,0,0,13,10,15,2,3,12,12,0,8,5,11,0,20,2,0
estado parcelario,35,12,20,20,0,34,1,1,24,13,19,1,27,27,23,1,9,15,25,0,39,11,0
registro propiedad,5,2,5,6,0,0,5,7,6,5,3,0,6,8,6,0,0,1,8,0,0,4,4
levantamiento parcelario,3,3,12,17,0,5,0,0,7,12,17,0,5,2,1,0,2,10,3,0,35,3,0
acto levantamiento,2,1,11,11,0,2,0,0,3,5,5,0,6,2,2,0,2,5,2,0,15,5,0
organismo catastral,27,2,1,17,0,3,0,3,1,0,36,0,2,59,52,0,4,9,56,0,15,4,0
direccion general,0,5,0,0,0,48,30,8,54,54,11,0,4,0,15,45,3,0,0,0,83,19,10
propiedad inmueble,4,2,1,5,0,0,3,4,6,6,6,0,6,9,6,0,1,1,8,0,11,0,0
derechos reales,4,3,0,3,0,7,1,5,7,1,5,0,3,7,8,4,0,1,8,0,7,1,0
catastro territorial,17,1,3,0,0,13,2,0,62,1,7,5,5,4,5,0,1,1,3,0,8,4,0
verificacion subsistencia,5,2,0,2,0,2,0,0,5,2,0,0,5,6,4,0,0,6,4,0,12,0,0
propiedad horizontal,9,1,0,1,2,8,1,25,4,2,2,0,4,5,3,0,0,0,2,0,3,0,0
levantamiento territorial,1,0,7,3,0,0,0,0,5,6,10,2,1,5,7,0,6,0,6,0,6,4,0
registro grafico,6,1,15,4,0,0,0,0,6,1,10,0,7,7,3,6,1,0,3,0,20,1,0
regimen catastral,2,0,3,3,0,0,3,0,0,0,4,0,3,2,2,0,0,1,2,0,3,0,4
poder policia,3,2,2,1,0,1,0,0,5,1,1,4,4,3,4,0,0,2,4,1,3,1,0
planos mensura,3,0,4,2,2,0,0,3,5,1,3,0,2,10,9,0,0,0,7,1,0,1,0
valores unitarios,18,0,2,0,0,2,21,0,9,17,1,0,1,16,12,0,0,0,12,0,11,0,0
propietarios poseedores,3,0,4,0,0,3,1,0,5,3,6,0,0,5,3,0,0,0,4,0,2,0,0
plano mensura,0,2,3,3,0,0,2,14,5,1,3,0,0,9,8,1,0,1,8,0,0,0,1
parcelario inmuebles,3,1,5,1,0,3,0,0,4,3,2,1,1,4,4,0,0,1,4,0,8,1,0
parcelario inmueble,7,1,0,5,0,1,0,0,4,1,1,0,4,3,3,0,2,1,3,0,2,2,0
libre mejoras,4,0,4,0,0,7,3,0,1,0,4,0,1,1,3,2,0,0,2,0,4,0,3
declaraciones juradas,13,1,0,1,0,2,1,1,4,4,2,1,2,4,2,2,1,0,2,0,1,1,0
subsistencia estado,7,0,0,3,0,1,0,0,6,1,1,0,7,5,3,0,0,5,3,0,8,1,0
registros catastrales,4,0,2,1,0,0,1,0,3,0,6,1,5,5,4,0,1,0,4,0,4,1,0
regimen propiedad,7,1,0,1,2,1,1,3,4,2,1,0,3,5,3,0,0,0,1,0,3,0,0
nomenclatura catastral,6,0,1,3,0,3,1,0,0,2,1,0,7,0,1,9,0,0,1,1,3,2,6
ley nacional,4,0,5,0,0,2,0,7,1,10,22,0,3,1,0,1,0,5,0,0,1,21,0
documentos cartograficos,2,1,1,2,0,2,0,0,1,0,6,0,1,2,2,0,0,0,2,0,2,2,0
valuacion fiscal,12,1,0,0,0,8,0,0,3,2,9,0,2,1,0,0,0,1,2,1,12,0,1
valor unitario,9,0,8,0,0,6,3,0,0,5,0,0,0,10,6,0,0,0,6,0,0,0,1
urbanas suburbanas,2,0,2,0,0,0,0,0,0,5,9,0,3,0,0,3,0,0,0,0,4,1,4
unitarios basicos,16,0,0,0,0,1,20,0,9,11,1,0,1,15,10,0,0,0,9,0,11,0,0
transmision derechos,1,2,0,0,0,0,0,0,2,1,2,0,2,2,2,0,0,0,2,0,2,0,0
tierra libre,2,0,2,0,0,7,1,0,1,0,2,0,1,1,2,2,0,0,1,0,4,0,2
servicios publicos,1,0,1,2,0,2,0,7,3,0,0,0,1,3,3,1,0,0,2,1,3,0,1
registro parcelario,4,0,0,1,0,1,0,1,4,1,5,0,5,4,3,0,0,0,3,0,0,2,1
policia inmobiliario,3,2,0,0,0,1,0,0,2,0,0,4,3,3,4,0,0,1,2,0,0,0,0
legajos parcelarios,3,0,1,0,0,0,0,0,2,0,4,0,3,4,3,0,0,0,3,0,2,0,0
inscripcion registro,1,1,2,0,0,0,1,0,2,0,2,0,0,3,3,3,1,0,3,0,3,0,1
inmobiliario catastral,3,2,0,0,0,1,0,0,2,0,0,4,2,3,3,0,0,1,2,0,1,0,0
impuesto inmobiliario,7,0,0,1,0,6,0,2,1,0,8,0,3,0,3,1,0,1,2,0,3,0,0
datos inscripcion,1,1,2,2,0,0,0,1,2,0,2,0,1,2,2,0,0,0,2,0,3,0,0
constitucion estado,7,1,1,1,0,3,0,0,2,0,1,0,1,2,2,0,0,4,2,0,6,0,0
constancias catastrales,2,0,0,5,0,0,0,1,4,5,1,0,2,4,4,0,1,0,4,0,1,0,1
bienes inmuebles,2,0,2,1,0,0,0,0,1,0,9,0,2,1,2,4,1,0,2,1,4,1,0
autoridad aplicacion,19,5,1,2,0,2,0,6,1,1,0,0,48,1,0,0,1,6,1,0,11,0,0
subrurales rurales,1,0,2,0,0,0,2,0,0,2,0,0,0,0,3,4,0,0,2,0,2,0,0
interes legitimo,2,0,4,0,0,0,0,0,1,0,1,0,2,2,2,0,0,0,2,0,6,0,0
informacion territorial,0,1,0,1,13,16,0,0,8,0,0,0,4,17,14,0,0,1,1,10,1,0,0
folio catastral,0,0,12,3,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,18,3,0
documento cartografico,2,1,2,3,0,1,0,0,1,1,2,0,2,1,1,0,2,1,1,0,4,0,0
acto verificacion,1,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,2,2,0,4,0,0
valores basicos,4,0,5,0,0,0,1,0,0,0,2,0,0,2,0,4,1,0,0,0,2,0,0
unitario basico,4,0,0,0,0,4,0,0,0,2,0,0,0,10,5,0,0,0,5,0,0,0,0
titulos propiedad,0,0,2,0,0,2,2,3,0,0,1,0,1,0,0,2,1,0,0,0,2,0,0
resolucion judicial,1,0,1,2,0,0,0,1,3,0,2,0,1,2,2,1,0,0,2,0,1,1,0
provinciales municipales,1,0,4,0,0,0,0,0,1,0,2,0,2,1,1,2,0,0,2,1,4,0,0
propietario poseedor,5,0,3,0,0,0,0,2,1,0,3,0,0,1,2,1,1,1,2,0,1,0,0
posesion ejercida,3,2,1,0,0,0,0,0,1,0,2,1,4,0,0,0,2,1,1,0,3,1,0
parcelas rurales,0,0,0,1,0,1,2,0,3,0,2,0,0,2,1,3,0,0,1,0,0,4,1
obras publicas,0,0,0,0,0,1,0,1,0,3,3,0,1,0,0,6,2,0,0,1,2,0,7
objetos territoriales,2,7,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,3,2,0,0,0,0
medidas lineales,2,1,2,1,0,0,0,6,1,0,1,0,2,0,0,2,1,1,1,0,2,0,1
limites inmueble,2,1,0,0,0,0,0,0,2,0,1,0,2,2,2,0,0,1,2,0,1,0,0
levantamientos parcelarios,0,0,13,0,0,0,0,0,0,4,5,0,3,0,0,0,0,1,0,0,8,6,0
geodesicos topograficos,1,0,2,1,0,0,0,0,3,1,1,0,1,3,2,1,2,0,1,0,3,0,0
estado provincial,0,0,0,2,0,0,0,5,3,0,1,0,1,1,3,0,2,1,1,2,0,0,0
escribanos publicos,0,0,0,0,0,0,2,3,2,1,1,0,1,2,2,1,0,0,2,0,0,0,1
determinar valuacion,7,2,0,0,0,1,0,0,1,1,0,0,2,6,2,0,0,0,2,0,1,0,0
cosa inmueble,3,2,1,1,0,2,0,1,1,1,1,0,1,1,2,0,1,1,2,0,2,1,0
conservacion catastro,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,1,0,0,2,0,0,0,0
certificados catastrales,0,2,4,0,4,1,0,0,1,1,0,0,1,1,1,0,0,0,2,0,3,2,0
catastro informacion,0,0,0,0,7,0,0,0,0,0,0,0,2,16,13,0,0,0,2,9,0,0,0
caracter permanente,3,0,0,2,0,3,1,2,2,0,1,0,1,2,1,0,1,0,1,0,0,0,0
actualizacion conservacion,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,0,1,0,2,0,0,0,0
actos mensura,1,2,0,0,0,1,0,0,2,0,2,0,0,2,2,0,0,1,2,0,0,0,0
acto mensura,0,1,0,0,0,0,0,1,4,0,0,0,2,4,5,0,0,2,4,0,0,0,0
zonas urbanas,0,0,2,0,0,0,0,2,0,0,12,0,0,0,0,2,0,0,0,0,2,0,0
vias comunicacion,6,0,0,0,0,1,0,2,0,0,0,0,2,2,1,0,0,0,1,0,3,0,0
valuacion inmobiliaria,2,0,0,0,0,0,1,0,5,0,1,0,1,8,3,0,1,0,3,1,0,0,0
valuacion catastral,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10,0,2,0,9,0,0,0,0
urbanos suburbanos,1,0,1,0,0,0,0,0,0,2,1,0,1,0,3,1,0,0,3,0,3,0,2
unidades funcionales,2,2,0,0,0,2,0,29,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0
publicidad catastral,0,0,1,1,0,2,0,0,3,0,0,0,0,3,2,0,1,1,1,0,5,0,0
plantas urbanas,1,0,0,0,2,0,0,7,1,5,0,0,0,1,0,2,0,0,0,0,1,0,2
planta urbana,3,0,0,0,1,0,0,0,0,2,0,0,3,1,0,7,0,0,0,0,1,0,5
parcelas urbanas,0,0,0,0,1,2,3,0,1,0,2,0,1,1,1,5,0,0,1,0,0,2,0
mercado inmobiliario,3,0,0,1,0,1,1,0,2,0,0,0,0,2,2,0,0,0,2,0,1,0,0
marcas senales,0,1,2,0,0,0,0,0,4,0,1,0,1,4,2,0,1,0,1,0,3,0,0
levantamientos territoriales,0,0,0,1,0,0,0,0,0,3,3,1,1,1,1,0,2,0,2,0,0,5,0
inscripcion dominio,2,0,0,1,0,0,0,5,1,0,0,0,2,2,1,2,0,0,1,0,0,0,1
inmuebles urbanos,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,2,0,4,0,1
inmuebles ubicados,4,0,0,1,0,0,2,0,1,0,0,0,4,0,0,0,0,1,0,2,3,0,1
folios catastrales,0,0,5,7,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,5,2,0
estado conservacion,3,0,4,0,0,0,2,0,0,1,2,0,0,2,1,1,0,0,1,0,1,0,1
ejercicio agrimensura,4,0,1,0,0,1,0,1,1,0,1,0,2,3,4,0,0,0,4,0,0,0,0
determinacion valores,3,0,0,0,0,1,0,0,3,0,1,0,1,3,2,0,1,0,1,1,2,0,0
derecho real,0,0,1,0,0,5,0,21,0,1,1,0,3,0,0,6,0,0,0,0,2,1,0
constitucion modificacion,1,2,2,1,0,0,1,0,1,1,6,0,2,0,0,0,0,0,0,0,2,0,0
constancias registro,2,0,0,0,0,0,0,0,2,1,0,0,2,2,1,3,0,0,1,0,0,0,0
certificacion catastral,4,0,0,1,0,1,0,0,2,1,1,0,2,1,1,0,0,1,2,0,2,1,0
administracion publica,3,0,1,1,0,1,0,2,0,1,5,0,3,0,0,0,1,0,0,1,3,0,1
acuerdo establecido,3,0,0,1,0,0,0,5,1,1,0,0,0,4,2,1,0,1,3,0,1,0,0
verificar subsistencia,3,1,0,1,0,0,0,0,1,1,2,0,3,0,1,0,1,1,1,0,3,1,0
valores mercado,4,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,2,0,0,0,0
valor tierra,1,0,2,0,0,4,3,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,3
urbana suburbana,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2
unidades tributarias,0,0,0,0,0,4,0,0,0,0,0,0,0,6,2,0,0,0,2,0,0,0,0
unidad tributaria,0,0,0,0,0,3,0,0,0,0,0,0,1,3,2,0,0,0,2,0,0,0,0
unidad superficie,2,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,2,0,0,0,1
ubicacion geografica,1,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0
tierra mejoras,0,0,0,0,0,2,2,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,1
supresion mejoras,3,0,0,0,0,3,3,0,1,1,1,0,2,1,1,0,0,0,1,0,0,0,0
superficie respecto,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0
superficie cubierta,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
