termino,BuenosAires,CABA,Catamarca,Chaco,Chubut,Cordoba,Corrientes,EntreRios,Formosa,LaPampa,LaRioja,Mendoza,MisionesII,Neuquen,RioNegro,Salta,SanJuan,SanLuisV,SantaCruz,SantaFe,SantiagoDelEstero,TierraDelFuego,Tucuman
territorial,25,9,19,16,13,33,2,5,87,8,22,9,19,38,33,3,12,3,18,16,26,10,1
registro,29,6,31,16,8,11,5,94,20,12,59,2,29,26,17,45,10,4,17,1,38,14,8
inmuebles,26,5,24,11,2,31,11,14,22,16,22,3,13,30,29,73,10,6,29,5,49,8,8
catastro,20,4,50,37,7,68,39,100,68,55,68,13,15,27,29,43,31,29,15,16,95,29,35
catastrales,12,3,22,15,5,15,2,1,12,9,23,1,16,14,13,9,10,2,13,2,30,5,9
catastral,62,7,51,40,4,27,11,8,21,16,67,5,45,82,86,25,15,17,87,4,93,27,22
propiedad,18,4,12,8,2,11,11,53,12,9,21,0,13,18,14,10,4,4,13,2,21,4,16
parcelas,16,5,22,13,19,31,26,28,14,11,41,0,16,14,18,25,3,2,17,1,28,16,15
parcelario,53,15,36,44,0,41,9,6,41,27,44,1,45,38,30,3,16,25,34,2,81,16,5
mensura,4,6,24,8,4,5,2,151,19,4,19,0,8,30,30,8,1,5,27,1,2,10,2
limites,6,4,19,5,0,5,2,42,7,1,17,1,13,9,4,6,4,5,4,1,18,2,3
ubicacion,7,2,8,6,0,2,3,19,6,4,11,1,7,6,5,10,3,1,5,0,17,1,10
territorio,2,2,4,3,0,2,1,1,8,5,4,0,3,4,6,3,5,4,7,4,10,6,2
registros,6,2,12,7,4,1,3,9,7,0,12,1,10,15,13,1,6,1,11,4,9,5,0
propietarios,4,1,6,1,0,6,4,18,5,4,15,1,1,5,4,15,2,1,5,0,6,1,5
posesion,4,2,1,1,0,8,1,5,2,1,8,1,6,1,1,4,2,3,2,0,4,1,4
planos,7,0,18,5,14,5,3,42,6,3,10,0,4,11,10,23,1,1,8,2,23,6,22
parcelaria,17,2,1,3,0,3,2,13,3,2,15,0,7,5,7,2,4,1,6,3,12,1,3
parcela,17,3,17,9,13,13,10,27,8,23,40,0,14,7,12,27,4,9,12,0,32,4,13
mejoras,27,4,15,2,0,38,13,11,11,1,15,0,11,16,21,4,6,2,19,5,21,1,10
informacion,11,2,16,5,17,25,0,14,18,1,6,0,11,27,26,2,3,4,11,12,20,1,10
fiscal,21,2,1,2,2,15,2,2,8,4,18,0,5,6,6,7,3,3,7,1,22,0,6
certificado,8,1,7,14,2,6,5,12,5,4,11,0,8,9,7,13,3,6,7,0,23,4,1
plano,8,3,5,4,1,1,4,132,7,3,11,0,15,11,10,16,0,2,10,0,16,3,14
obras,12,1,3,2,0,1,1,10,3,4,4,0,3,4,1,10,2,0,2,1,3,2,9
medidas,2,1,4,1,0,3,1,28,3,2,8,0,3,2,0,8,3,3,1,3,6,1,15
linderos,3,2,3,2,0,2,2,32,1,3,4,1,4,2,2,5,2,1,2,0,6,0,1
inscripcion,7,2,12,6,1,1,3,15,7,3,26,0,6,9,8,44,1,0,8,0,19,9,3
inmueble,39,14,9,16,0,22,7,27,41,11,29,0,27,46,37,18,6,8,39,0,25,6,4
dominio,13,2,6,7,0,2,4,93,6,4,14,0,14,14,11,22,2,3,11,0,10,4,17
derechos,4,4,0,3,0,11,1,13,10,3,6,1,4,11,12,11,1,3,11,0,8,1,2
antecedentes,5,2,3,1,2,6,2,13,2,1,11,0,4,4,2,11,1,2,2,0,3,0,5
valuacion,67,4,5,5,1,29,29,0,27,11,44,0,12,32,30,0,5,3,31,4,18,0,1
valores,33,0,11,2,1,7,31,5,21,20,9,0,4,31,20,14,2,0,17,1,17,0,7
titulos,2,2,6,2,0,11,2,24,1,0,10,1,4,0,0,8,2,4,1,1,5,3,7
titulo,11,1,7,5,0,9,3,38,10,0,32,0,12,12,11,21,4,4,6,0,9,4,14
territoriales,2,8,0,3,0,18,0,3,2,3,4,1,9,7,4,0,6,4,7,1,3,5,1
tecnico,6,1,2,1,0,2,1,10,2,0,2,0,4,1,2,16,2,1,2,4,3,0,3
superficie,14,2,8,0,0,14,4,133,3,3,12,1,8,9,5,14,1,3,5,0,11,0,18
rurales,3,0,10,1,4,5,4,22,5,7,21,0,3,7,4,9,0,1,4,0,11,5,7
registracion,10,3,5,5,0,10,0,4,12,6,4,0,1,22,20,1,1,4,20,1,13,2,0
profesional,16,3,15,9,0,10,0,39,4,11,11,0,7,5,8,5,2,4,7,0,13,2,1
parcelarios,7,2,23,2,0,3,0,8,9,4,13,0,8,20,13,2,3,2,11,1,17,8,0
oficio,7,1,1,2,0,8,4,4,2,2,7,1,3,3,2,3,1,0,2,0,1,1,0
nomenclatura,7,1,1,5,0,3,1,1,4,2,4,0,8,4,4,16,0,0,4,2,12,2,14
rural,7,0,0,3,2,2,1,15,5,2,3,0,3,3,1,1,2,0,1,3,1,0,9
registrar,1,4,3,2,0,6,0,4,4,2,2,1,3,5,5,2,3,0,5,2,4,0,0
registrados,1,1,4,5,1,2,0,3,3,2,6,0,3,7,8,0,1,2,7,0,6,4,0
propietario,7,0,7,1,0,2,1,30,1,1,14,0,3,3,4,10,1,3,3,0,5,0,11
policia,4,3,2,1,0,2,0,0,6,1,1,4,4,4,5,2,0,3,5,2,4,1,0
municipales,1,0,6,1,2,5,1,16,4,1,4,0,3,3,3,6,0,0,4,2,6,0,2
mensuras,0,2,6,1,2,17,0,50,1,1,16,0,0,1,2,14,4,4,1,1,0,3,5
inmobiliario,24,3,0,4,0,11,3,6,8,0,8,4,10,7,10,10,3,3,7,0,11,0,3
inmobiliaria,4,1,1,1,0,2,3,1,10,2,2,0,2,11,4,0,1,0,6,3,0,1,1
economicos,4,1,1,4,0,1,0,0,2,1,3,1,3,4,1,1,2,0,1,1,2,0,1
certificados,2,3,6,2,4,5,0,15,2,1,1,0,2,4,3,7,0,0,4,0,5,5,2
valuaciones,4,0,2,3,1,14,2,1,3,3,16,0,3,4,8,0,0,0,4,0,4,1,1
valor,34,0,32,3,0,19,21,7,9,13,17,0,1,27,11,15,3,0,10,0,16,0,14
urbanas,5,0,5,0,5,6,6,28,3,6,17,0,3,2,1,13,0,0,1,0,5,3,5
urbana,6,0,1,0,2,0,1,11,2,2,1,0,4,1,3,8,1,0,3,2,1,0,10
tierra,5,0,4,0,0,11,5,7,2,8,5,0,3,3,11,4,3,0,10,0,7,5,9
superficies,1,1,0,2,0,1,3,108,3,3,3,0,2,4,4,3,1,0,4,0,3,0,2
profesionales,8,1,3,0,0,6,0,10,1,7,5,0,5,4,4,2,1,2,4,0,15,1,0
ordenamiento,1,2,2,3,0,1,1,7,3,0,3,0,4,3,2,0,2,2,2,1,5,0,0
nacional,4,0,7,0,0,2,0,11,1,11,24,0,5,2,1,4,2,5,1,0,1,26,3
municipalidades,1,0,1,1,0,0,2,4,1,2,0,0,1,5,3,3,0,1,3,3,6,3,4
mojones,4,1,6,2,0,0,0,15,4,4,5,1,6,4,3,1,1,0,2,0,6,0,1
lineales,2,1,2,1,0,0,1,13,1,0,3,0,2,1,1,3,1,1,1,0,2,0,3
levantamiento,4,3,21,25,0,6,0,0,17,20,31,2,10,14,14,0,11,10,13,0,42,11,0
grafico,6,1,16,4,0,0,0,2,6,1,10,0,7,7,3,6,2,0,3,0,20,1,3
dimensiones,2,1,1,1,0,0,2,14,0,2,3,1,1,3,1,6,1,1,0,0,2,0,5
certificacion,8,0,0,2,3,1,0,11,3,1,3,0,5,2,1,2,0,1,2,0,4,2,2
cartografico,2,1,2,4,0,3,0,1,8,1,3,0,3,1,1,0,6,2,1,1,4,0,0
cartografia,3,1,3,31,0,2,0,1,3,0,4,1,4,4,4,0,3,2,4,6,7,0,0
registrado,3,1,0,3,0,1,1,5,7,3,3,0,1,10,11,2,0,2,13,0,2,0,0
municipal,1,0,0,0,0,1,1,18,1,1,3,0,3,1,2,6,2,0,3,1,1,1,0
modifique,1,0,1,1,0,1,0,0,4,2,2,0,1,5,6,2,0,1,6,0,1,2,2
inscripciones,4,1,1,1,0,3,1,2,1,0,1,0,3,2,0,15,0,1,1,0,1,1,0
informes,1,0,2,3,0,7,1,1,1,0,3,0,2,1,1,1,4,0,1,0,4,3,0
division,1,0,3,1,0,1,0,8,2,0,11,0,4,4,2,5,1,0,1,0,5,2,29
cartograficos,2,1,1,3,3,2,0,5,1,0,6,0,2,2,2,0,0,0,2,1,2,2,0
topograficos,1,0,7,1,0,0,0,4,3,1,1,0,1,3,2,5,2,0,1,0,6,0,4
titulares,2,1,0,1,0,2,0,16,1,1,3,0,1,4,1,4,1,0,3,0,1,0,0
riqueza,1,1,1,1,0,1,0,0,1,0,2,1,1,1,1,0,1,0,1,1,1,0,0
publicidad,0,0,11,2,0,12,0,3,4,0,5,0,3,7,4,2,2,3,4,0,8,1,0
obra,3,0,1,0,0,2,0,9,0,2,1,0,0,2,4,3,2,2,4,0,6,1,3
municipios,0,0,2,0,1,7,0,6,1,1,2,0,1,0,2,8,0,1,1,1,2,0,3
interes,3,0,6,2,0,1,0,11,4,1,4,0,3,5,3,0,1,0,3,0,8,0,2
escribanos,2,0,0,1,0,1,3,4,2,1,4,0,2,2,2,5,0,0,2,0,0,1,3
colindantes,2,1,7,1,0,1,0,7,1,0,4,0,4,1,1,1,0,0,1,0,1,1,0
angulares,2,1,1,1,0,0,0,3,1,0,2,0,2,1,1,1,1,1,1,0,2,0,0
agrimensura,5,0,3,5,0,15,0,4,2,5,10,0,5,4,4,0,3,3,4,0,3,0,0
afectados,4,0,0,0,1,1,1,3,2,1,0,0,2,3,2,2,0,0,2,0,2,1,1
urbanos,1,0,3,0,0,0,0,1,0,3,1,0,1,3,3,3,0,1,3,0,9,1,4
tributarios,1,1,1,1,0,2,0,0,1,0,2,0,2,0,1,0,1,1,3,0,3,1,0
transmision,2,2,0,3,0,1,0,0,4,1,3,0,2,5,3,4,0,0,3,0,2,0,2
suelo,16,0,0,0,0,7,0,5,11,0,11,0,1,13,1,1,1,1,1,0,5,0,3
restricciones,2,1,1,2,0,0,0,7,1,1,1,0,1,1,1,1,0,0,1,0,3,0,0
rentas,0,1,1,0,0,0,1,0,1,2,12,0,2,1,1,1,1,0,0,1,2,0,12
relevamientos,7,0,3,0,0,2,1,1,1,0,2,0,5,1,0,1,2,0,0,1,3,0,2
provinciales,2,0,4,0,0,1,1,3,2,0,4,0,3,1,3,4,0,0,3,1,5,0,0
poseedor,6,0,4,2,0,0,0,6,3,0,4,0,1,4,4,1,1,1,3,0,2,0,0
poligonal,1,1,0,0,0,1,1,18,0,1,0,0,1,1,1,4,1,1,2,0,0,0,11
planeamiento,1,1,2,1,0,0,0,6,1,0,2,2,2,1,1,0,1,0,1,0,2,0,0
pago,3,0,1,1,2,0,1,2,0,0,5,0,1,0,3,7,0,1,2,1,0,0,1
muros,1,1,1,1,0,0,1,59,2,0,2,0,2,1,1,1,0,0,1,0,1,0,0
levantamientos,0,0,15,1,0,0,0,0,2,8,10,1,4,2,2,0,4,1,3,0,11,15,0
impuesto,7,0,0,1,0,8,0,3,1,0,11,0,3,0,3,3,0,1,2,2,4,0,2
edificios,6,1,9,0,0,0,1,31,0,0,4,0,3,1,1,3,1,0,1,0,7,0,1
condominio,1,0,1,0,1,1,1,20,0,1,1,0,0,3,4,2,0,0,3,0,1,0,1
avaluo,10,0,1,0,0,0,1,0,1,6,1,0,1,1,1,2,1,0,1,0,1,0,1
asientos,4,0,1,9,0,0,0,1,5,1,5,0,2,7,5,1,0,1,6,0,3,0,0
asiento,3,0,1,2,0,0,1,0,3,1,2,0,3,5,4,2,0,0,4,0,2,0,1
